Dam ID,Dam Name,Other Dam Names,NID ID,WDID,Administration Type,Physical Status,Div,WD,County,PM,Township,Range,Section,Q160,Q40,UTM x,UTM y,Latitude,Longitude,Location Accuracy,Stream,Downstream Town,Town Distance,Year Completed,Purposes,Federal Land,Federal Regulations,Dam Type,Dam Length,Dam Height,Crest Elevation,Normal Storage,Surface Area,Drainage Area,Spillway Capacity,Outlet Description,Outlet Capacity,Outlet Inspection Date,Hazard Class,EAP,EAP Date,EAP Inundation Map,Inundation Map Date,Last Inspection Date,Overall Conditions,Safe Storage,Inspector,Current Restrictions,Primary Name,Primary Contact,Assigned To,Modified,More Information,
"010118","BOYD #2","","","0103641","Non-Jurisdictional Dam","Active","1","1","WELD","S","8.0 N","66.0 W","13","NE","SE","523761.0","4501607.9","40.665007","-104.718901","GPS","LONE TREE CREEK","KERSEY","23","","P","N","N","RE","1300.00","5.00","5045.00","35","15","0","0.00","","0.00","","Low","Not Required","","No","","","","","","No","GEORGE BALL","GEORGE BALL","","12/06/2017 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010118",
"010125","BURNS, WALTER L. DET.","WALTER L. BURNS DET. #1","CO00005","","Jurisdictional Dam","Active","1","1","ELBERT","S","8.0 S","61.0 W","11","NE","SW","570131.6","4358215.4","39.370563","-104.185836","GPS","MIDDLE BIJOU CREEK","DEER TRAIL","17","1967","C","N","N","RE","564.00","20.00","6020.00","93","13","1293","3200.00","21 O CMP","29.00","","NPH","Not Required","","No","","","","","","No","W. LEONARD BURNS, JR.","W. LEONARD BURNS, JR.","KEB","03/08/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010125",
"010126","BRITTINGHAM, JOHN","JOHN BRITTINGHAM","CO00006","","Jurisdictional Dam","Active","1","1","ELBERT","S","8.0 S","61.0 W","13","SW","SW","570802.3","4355507.8","39.346118","-104.178344","GPS","WILSON CREEK","DEER TRAIL","17","1971","C","N","N","RE","547.00","27.80","6000.00","114","17","2630","7200.00","24 O CMP","40.00","","NPH","Not Required","","No","","","","","","No","JOHN BRITTINGHAM","JOHN BRITTINGHAM","KEB","03/08/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010126",
"010130","CHRISTENSEN #1","","CO00007","","Jurisdictional Dam","Active","1","1","MORGAN","S","5.0 N","59.0 W","27","NE","NW","588035.0","4470082.0","40.376682","-103.962957","GPS","SCHAFFER'S DRAW","GOODRICH","3","1957","IPR","N","N","RE","382.00","20.00","4430.00","75","15","2848","6280.00","12 CSP","5.00","","Low","Not Required","","No","","03/11/2020","Satisfactory","Full Storage","JHB","No","CHRISTENSEN BROS., INC. (ERIC CHRISTENSEN)","ERIC CHRISTENSEN","JHB","02/19/2019 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010130",
"010131","COLE","","","","Non-Jurisdictional Dam","Active","1","1","WELD","S","7.0 N","64.0 W","20","","","","","","","Spotted from quarters","WILLOW CREEK","GALETON","3","","I","N","N","RE","1600.00","6.00","4890.00","25","10","0","0.00","20 TILE","34.00","","Low","Not Required","","No","","","","","","No","","","","06/19/1991 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010131",
"010132","LINDIES LAKE","COLES LAKE","CO01862","0103643","Jurisdictional Dam","Active","1","1","WELD","S","6.0 N","64.0 W","20","NW","SW","535625.4","4480358.0","40.473146","-104.579744","GPS","LONE TREE CREEK","KERSEY","5","1894","I","N","N","RE","1116.00","7.50","4715.00","150","28","235","0.00","18 TILE","20.00","","Low","Not Required","","No","","04/22/2021","Conditionally Satisfactory","Conditional Full Storage","JHB","YES","LINDIES LAKE H.O.A. (GEORGE, RICHARD (RICK))","RICHARD (RICK) GEORGE","JHB","05/04/2021 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010132",
"010133","COSTELLOE","","CO00830","0103598","Jurisdictional Dam","Active","1","1","MORGAN","S","5.0 N","56.0 W","35","NW","SW","617529.1","4468310.5","40.357085","-103.615928","GPS","DEAD HORSE DRAW","SNYDER","3","1931","I","N","N","RE","640.00","18.10","4270.00","50","15","11550","2940.00","20 BELOW CREST","60.00","","Low","Not Required","","No","","05/21/2015","Conditionally Satisfactory","Conditional Full Storage","JHB","No","RIVERSIDE IRRIGATION DISTRICT (DON CHAPMAN)","DON CHAPMAN","JHB","06/21/2015 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010133",
"010134","COZZENS","","CO01863","","Jurisdictional Dam","Active","1","3","WELD","S","6.0 N","65.0 W","8","NE","NE","526924.7","4483858.2","40.505004","-104.682227","GPS","CACHE LA POUDRE","KERSEY","11","1902","I","N","N","RE","1200.00","16.50","4780.00","300","44","80","200.00","24 VCP","65.00","","Low","Not Required","","No","","04/18/2023","Satisfactory","Full Storage","JHB","No","LEON COZZENS,  ","LEON COZZENS","JHB","05/09/2023 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010134",
"010135","FABER","","","","Non-Jurisdictional Dam","Active","1","1","WELD","S","6.0 N","64.0 W","11","SE","NE","541613.7","4483370.5","40.500002","-104.508897","GPS","CROW CREEK","HARDIN","12","","I","N","N","RE","150.00","4.00","4698.00","5","3","0","0.00","PUMP TO PIPELINE","0.00","","Low","Not Required","","No","","","","","","No","","","","06/08/2023 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010135",
"010136","DECKER","DECKER & PEARCE, CARR RESERVOIR","CO02300","","Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","67.0 W","3","SW","NW","509719.4","4523292.0","40.860634","-104.884690","GPS","SPRING CREEK","Pierce","17","1892","I","N","N","RE","962.00","13.50","5645.00","367","31","356","9500.00","24 CMP (?) silted in, not operable","0.00","","Low","Not Required","","No","","05/01/2009","Satisfactory","Conditional Full Storage","JHB","No","JUNIOR DIEHL (BLANEY, DOUG)","DOUG BLANEY","JHB","02/24/2003 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010136",
"010137","HARRY DENNING IRRIGATION #3","","CO00013","","Jurisdictional Dam","Active","1","1","WELD","S","1.0 N","64.0 W","23","NE","SE","541678.0","4432221.0","40.039194","-104.511468","GPS","LOST CREEK","KEENESBURG","5","1962","I","N","N","RE","1680.00","14.00","4995.00","30","5","416","310.00","12 CSP","0.00","","Low","Not Required","","No","","08/12/2021","Conditionally Satisfactory","Conditional Full Storage","JHB","No","CHRIS BAILY,  ","CHRIS BAILY","JHB","12/13/2021 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010137",
"010138","DOVER","","CO01101","0103639","Jurisdictional Dam","Active","1","1","WELD","S","9.0 N","66.0 W","9","SW","SW","517960.7","4511767.4","40.756672","-104.787228","GPS","LONE TREE CREEK","NUNN","4","1911","IP","N","N","RE","1434.00","23.80","5300.00","218","33","41540","4750.00","24 STEEL","62.00","","Low","Not Required","","No","","04/14/2016","Unsatisfactory","Continue Existing Restriction","JHB","YES","DIAMOND JR FARMS (JERRY ROUSE)","JERRY ROUSE","JHB","03/15/2002 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010138",
"010205","D.T. #3","","CO02031","0103582","Jurisdictional Dam","Active","1","1","MORGAN","S","1.0 N","59.0 W","32","SE","NW","584865.6","4428955.0","40.006533","-104.005708","GPS","MUDDY CREEK","FORT MORGAN","22","1909","PI","N","N","RE","3500.00","10.00","4750.00","160","40","123000","7000.00","18 CONC. + 2 OTHERS-ALL INOP.","0.00","","Low","Not Required","","No","","04/23/2009","Unsatisfactory","Recommended Restriction","JHB","No","FREUND INVESTMENTS, LTD. (JOE FREUND)","JOE FREUND","JHB","03/17/1993 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010205",
"010206","EAGLE NEST","","","","Jurisdictional Dam","Active","1","1","WELD","S","4.0 N","62.0 W","18","","","","","","","Spotted from quarters","SOUTH PLATTE RIVER","MASTERS","10","","","N","N","RE","800.00","40.00","0.00","0","0","0","0.00","","0.00","","N","Not Required","","No","","","","","","No","S. SANFORD","","JHB","01/08/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010206",
"010207","EAGLE ROCK","","CO00067","","Non-Jurisdictional Dam","Active","1","1","WELD","S","12.0 N","64.0 W","25","SW","SE","542300.6","4536103.5","40.975011","-104.497226","GPS","SIMPSON CREEK","ORCHARD","49","1968","RI","N","N","RE","680.00","15.00","5390.00","38","9","23040","2800.00","12 O CMP","8.00","","Low","Not Required","","No","","","","","","No","MARK T. COX","","","06/19/1991 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010207",
"010208","EHMANN, FRANK DET. #1","FRANK EHMANN DET.","CO00068","","Jurisdictional Dam","Active","1","1","ELBERT","S","7.0 S","61.0 W","14","SW","SE","569563.1","4365516.7","39.436398","-104.191682","GPS","MIDDLE BIJOU CREEK","BYERS","33","1967","CP","N","N","RE","539.00","20.30","6040.00","35","5","250","1200.00","18 O CMP","19.00","","NPH","Not Required","","No","","","","","","No","FRANK O. EHMANN","FRANK O. EHMANN","KEB","03/08/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010208",
"010209","EHMANN, FRANK DET. #2","FRANK EHMANN DET. #2","CO00008","","Jurisdictional Dam","Active","1","1","ELBERT","S","7.0 S","60.0 W","17","NE","NE","575098.6","4366709.3","39.446673","-104.127226","GPS","MIDDLE BIJOU CREEK","BYERS","31","1969","CP","N","N","RE","901.00","23.00","5699.00","113","16","1325","2538.00","24 O CMP","48.00","","NPH","Not Required","","No","","","","","","No","FRANK O. EHMANN","FRANK O. EHMANN","KEB","03/08/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010209",
"010210","EMPIRE (OUTLET EMBANKMENT)","NEW EMPIRE RESERVOIR","CO00009","0103816","Jurisdictional Dam","Active","1","1","WELD","S","4.0 N","61.0 W","34","NE","NE","568972.1","4458393.0","40.273178","-104.188757","GPS","SOUTH PLATTE RIVER","ORCHARD","5","1905","FIR","N","N","RE","2300.00","33.79","4519.60","33817","2616","7328","1180.00","3-36 DIP - Upstream guard gates installed in 2020 (36x36)","510.00","11/09/2020","High","Yes","05/09/2022","No","03/09/2022","07/21/2023","Satisfactory","Full Storage","JHB","No","BIJOU IRRIGATION CO. (BROWNELL, JILL)","JILL BROWNELL","JHB","05/09/2022 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010210",
"010212","GIBSON #1","","","","Non-Jurisdictional Dam","Active","1","1","ARAPAHOE","S","5.0 S","63.0 W","21","SW","NE","547556.4","4383231.7","39.597509","-104.446125","GPS","KIOWA CREEK","BENNETT","11","","","N","N","RE","130.00","10.50","5770.00","1","1","0","0.00","NO OUTLET","0.00","","Low","Not Required","","No","","04/20/1988","","","","No","","","","03/08/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010212",
"010213","GIBSON #2","","CO03077","0103590","Non-Jurisdictional Dam","Active","1","1","ARAPAHOE","S","5.0 S","63.0 W","16","SW","NE","547640.5","4385051.3","39.613893","-104.445016","GPS","KIOWA CREEK","BENNETT","10","","P","N","N","RE","985.00","12.00","5720.00","20","4","0","0.00","2 OUTLETS; EAST IS 12 CMP","0.00","","Low","Not Required","","No","","04/20/1988","","","","No","","","JHB","12/22/2022 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010213",
"010215","GIFFIN #1 (LOWER)","","CO01102","","Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","66.0 W","18","SW","NW","514731.7","4519962.5","40.830561","-104.825288","GPS","LONE TREE CREEK","NUNN","8","1948","I","N","N","RE","575.00","17.00","5475.00","49","8","36480","8060.00","12 CMP","0.00","","Low","Not Required","","No","","04/14/2016","Satisfactory","Full Storage","JHB","No","GMS LAND AND CATTLE (GERTSCH, MJ)","MJ GERTSCH","JHB","02/22/2019 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010215",
"010216","GIFFIN #2 (UPPER)","","CO01103","","Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","66.0 W","18","NW","NW","514683.5","4520918.2","40.839174","-104.825834","GPS","LONE TREE CREEK","NUNN","8","1952","I","N","N","RE","565.00","21.00","5500.00","91","15","35840","4590.00","15 CMP","13.00","","Low","Not Required","","No","","04/14/2016","Satisfactory","Full Storage","JHB","No","GMS LAND AND CATTLE (GERTSCH, MJ)","MJ GERTSCH","JHB","09/12/2003 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010216",
"010217","HEADLEY","HEADLEY RESERVOIR #1","CO02017","","Jurisdictional Dam","Active","1","1","MORGAN","S","5.0 N","55.0 W","29","NW","NE","622725.2","4470315.0","40.374395","-103.554369","GPS","ANTELOPE DRAW","STERLING","24","1964","ISC","N","N","RE","1200.00","19.00","4200.00","355","50","6326","2600.00","18 RCP","32.00","","Low","Not Required","","No","","02/20/2024","Conditionally Satisfactory","Conditional Full Storage","JHB","No","PINNEO FEEDLOT","DAN TIMMERMAN","JHB","02/28/2024 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010217",
"010218","HEART","","CO01763","0103625","Jurisdictional Dam","Active","1","1","WELD","S","9.0 N","62.0 W","28","SE","NE","557635.7","4507660.0","40.717853","-104.317600","GPS","LITTLE CROW CREEK","BRIGGSDALE","5","1906","PI","N","N","RE","2600.00","26.00","4908.00","1298","170","216896","27000.00","30 CONC.","112.00","","Low","Not Required","","No","","09/16/2016","Conditionally Satisfactory","Full Storage","JHB","No","JOHN NOVAK (SAME)","SAME","JHB","12/19/2003 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010218",
"010219","HERTNEKY, ED","ED HERTNEKY","CO00011","","Jurisdictional Dam","Active","1","1","ELBERT","S","10.0 S","61.0 W","7","NE","SE","564155.6","4338602.0","39.194311","-104.257076","GPS","EAST BIJOU CREEK","DEER TRAIL","29","1971","CP","N","N","RE","925.00","21.00","6160.00","98","21","4224","4800.00","24 CMP","34.00","","Low","Not Required","","No","","02/01/2012","Satisfactory","Full Storage","JJF","No","HERTNEKY E & S RANCH, INC. (ERROL HERTNEKY)","ERROL HERTNEKY","mp3","03/07/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010219",
"010222","HORSE CREEK","","CO00012","0103592","Jurisdictional Dam","Active","1","1","WELD","S","1.0 N","64.0 W","32","NW","SE","536146.9","4428721.0","40.007916","-104.576495","GPS","HORSE CREEK","KUNER","25","1910","I","N","N","RE","4800.00","38.50","5078.00","15537","712","17024","49700.00","2-48-Inch DIA STEEL","652.00","02/01/2019","High","Yes","06/07/2021","Yes","12/18/2019","07/28/2023","Satisfactory","Full Storage","JHB","No","HENRYLYN IRRIGATION DISTRICT","DAVE BELL","JHB","02/15/2022 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010222",
"010223","HUDSON","BOOT LEG","","","Jurisdictional Dam","Active","1","1","WELD","S","1.0 N","65.0 W","35","","","","","","","Spotted from quarters","BOX ELDER CREEK","HUDSON","6","","I","N","N","RE","3900.00","46.00","0.00","11878","701","0","12600.00","R/C 36 ","0.00","","N","Not Required","","No","","","","","","No","HENRYLYN IRRIGATION DISTRICT","DAVE BELL","JHB","01/08/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010223",
"010224","IRELAND #1","","CO01104","0103614","Non-Jurisdictional Dam","Active","1","1","WELD","S","1.0 N","64.0 W","18","NW","NE","534635.9","4434310.3","40.058334","-104.593900","GPS","BOXELDER CREEK","KERSEY","25","1919","I","N","N","RE","440.00","13.20","4960.00","116","14","6400","882.00","24 CMP","33.00","","Low","Not Required","","No","","","","","","No","LAND FARMS (LAND, LLOYD)","LLOYD LAND","","10/30/2020 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010224",
"010227","JACKSON LAKE","","CO00016","0103817","Jurisdictional Dam","Active","1","1","MORGAN","S","5.0 N","60.0 W","27","NE","SW","578282.9","4469550.0","40.372863","-104.077886","GPS","SOUTH PLATTE RIVER","GOODRICH","2","1900","IR","N","N","RE","13000.00","39.00","4447.00","27256","2427","10176","12500.00","3 - 3 ft x 4.5 ft - Downstream ditch capacity is 400cfs. Dumps directly to the River.","400.00","11/08/2022","High","Yes","11/07/2023","Yes","02/03/2023","11/15/2023","Satisfactory","Full Storage","JHB","No","JACKSON LAKE RESERVOIR CO. (CYNTHIA LEFEVER)","CYNTHIA LEFEVER","JHB","04/12/2024 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010227",
"010229","MAX KILLIAN DAM #1","","CO00017","","Jurisdictional Dam","Active","1","1","ELBERT","S","10.0 S","63.0 W","25","NW","SW","551914.4","4333994.9","39.153617","-104.399185","GPS","WEST BIJOU CREEK","FONDIS","5","1971","CP","N","N","RE","565.00","25.50","6430.00","90","13","2144","4100.00","24 O CMP","39.00","","NPH","Not Required","","No","","","","","","No","HARRY B. COMBS / AMR COMBS (JOYCE SHAW)","JOYCE SHAW","KEB","03/17/1999 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010229",
"010231","FAMILY ENRICHMENT CAMP LAKE DAM","KIOWA CRK WTRSHD B-9","CO00069","","Jurisdictional Dam","Active","1","1","ELBERT","S","10.0 S","64.0 W","15","NW","SE","539297.6","4337189.8","39.183068","-104.545005","GPS","KIOWA CREEK","ELBERT","2","1955","R","N","N","RE","560.00","25.00","6911.00","38","7","418","1776.00","12 RCP","11.00","","Low","Not Required","","No","","12/13/2022","Satisfactory","Full Storage","JPK","No","DENVER AREA COUNCIL BSA (WHITNER, DAVE)","DAVE WHITNER","JPK","03/07/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010231",
"010232","KIOWA CRK WTRSHD C-11","","CO02302","","Jurisdictional Dam","Active","1","1","ELBERT","S","10.0 S","64.0 W","15","SW","SE","539350.9","4336203.5","39.174181","-104.544449","GPS","KIOWA CREEK","ELBERT","3","1956","C","N","N","RE","403.00","25.50","6943.00","25","4","296","1400.00","18 RCP W/ U/S RISER","19.00","","Low","Not Required","","No","","09/25/2014","Satisfactory","Full Storage","SCS","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","JPK","03/07/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010232",
"010233","KIOWA CRK WTRSHD D-12","","CO00019","","Jurisdictional Dam","Active","1","1","ELBERT","S","10.0 S","64.0 W","22","SE","SW","539790.8","4334633.1","39.160005","-104.539448","GPS","KIOWA CREEK","ELBERT","4","1955","C","N","N","RE","902.00","29.10","6957.00","47","9","707","3109.00","18 R/C","20.00","","Low","Not Required","","No","","06/04/2015","Satisfactory","Full Storage","RDS","No","DUNN, JOHN ","JOHN DUNN","JPK","03/07/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010233",
"010234","KIOWA CRK WTRSHD F-18","","CO00020","","Jurisdictional Dam","Active","1","1","EL PASO","S","11.0 S","64.0 W","4","NE","NW","538127.4","4331110.2","39.128334","-104.558905","GPS","KIOWA CREEK","ELBERT","6","1958","C","N","N","RE","824.00","37.20","7089.00","52","8","467","2862.00","18 R/C","40.00","","Low","Not Required","","No","","10/05/2020","Conditionally Satisfactory","Conditional Full Storage","JEH","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","BCM","03/06/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010234",
"010235","KIOWA CRK WTRSHD H-21","","CO00071","","Jurisdictional Dam","Active","1","1","EL PASO","S","11.0 S","64.0 W","4","SW","SE","537726.3","4329691.1","39.115565","-104.563623","GPS","KIOWA CREEK","ELBERT","8","1956","CP","N","N","RE","901.00","23.30","7140.00","38","8","613","2688.00","18 R/C","20.00","","Low","Not Required","","No","","10/05/2020","Satisfactory","Full Storage","JEH","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","BCM","03/06/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010235",
"010236","KIOWA CRK WTRSHD I-28","","CO02303","","Jurisdictional Dam","Active","1","1","EL PASO","S","11.0 S","64.0 W","9","NE","NE","538375.7","4329477.9","39.113617","-104.556117","GPS","KIOWA CREEK","ELBERT","8","1955","CP","N","N","RE","420.00","20.30","7120.00","16","3","211","1624.00","18 O CMP","15.00","","Low","Not Required","","No","","10/05/2020","Satisfactory","Full Storage","JEH","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","BCM","03/06/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010236",
"010237","KIOWA CRK WTRSHD J-33","","CO00073","","Jurisdictional Dam","Active","1","1","EL PASO","S","11.0 S","64.0 W","9","SE","NW","538140.2","4328490.1","39.104725","-104.558902","GPS","KIOWA CREEK","ELBERT","9","1956","CP","N","N","RE","642.00","23.00","7160.00","42","7","685","3575.00","18 O R/C","18.00","","Low","Not Required","","No","","10/05/2020","Satisfactory","Full Storage","JEH","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","BCM","03/06/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010237",
"010238","KIOWA CRK WTRSHD K-38","","CO02304","","Jurisdictional Dam","Active","1","1","EL PASO","S","11.0 S","64.0 W","16","SW","SE","537597.4","4326453.3","39.086393","-104.565295","GPS","KIOWA CREEK","ELBERT","10","1956","C","N","N","RE","335.00","21.80","7230.00","18","3","245","1168.00","18 O R/C","18.00","","Low","Not Required","","No","","10/05/2020","Satisfactory","Full Storage","JEH","No","KIOWA CONSERVATION DISTRICT (CARNAHAN, CHARLIE)","CHARLIE CARNAHAN","BCM","03/06/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010238",
